Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1599.444802303061
FDW14,OUT017,1424.9312685409125
NCN55,OUT010,564.3259490664121
FDQ58,OUT017,2496.437873245282
FDY38,OUT027,6160.1923444991535
FDH56,OUT046,1928.7852263641485
FDL48,OUT018,693.7162563560893
FDC48,OUT027,2285.405438299812
FDN33,OUT045,1519.2326751523467
FDA36,OUT017,3063.199463813359
FDT44,OUT017,1951.74495693199
FDQ56,OUT045,1416.4461338353246
NCC54,OUT019,562.4188854562996
FDU11,OUT049,2007.9755727915244
DRL59,OUT013,742.3508473745417
FDM24,OUT049,2487.637368647977
FDI57,OUT045,3098.65912323255
DRC12,OUT018,3063.199463813359
NCM42,OUT027,2937.079680792549
FDA46,OUT010,485.4786149151819
FDA31,OUT013,2818.3307128401893
NCJ31,OUT035,3871.4186101772007
FDG52,OUT046,693.7162563560893
NCL19,OUT019,271.39890789572735
FDS10,OUT035,3049.2877002062037
FDX22,OUT010,582.1568438200854
NCF19,OUT035,693.7162563560893
NCE06,OUT046,2559.809255296654
DRC27,OUT046,3878.5308421341097
FDE21,OUT035,1928.7852263641485
NCR42,OUT019,128.5833874707634
FDX51,OUT018,3063.199463813359
NCR06,OUT018,680.4347875651496
FDU31,OUT027,5552.674748933792
FDU59,OUT017,2568.203460967634
FDR03,OUT027,5552.674748933792
FDS49,OUT027,2229.9003047134993
FDD48,OUT010,262.9223421493727
NCF18,OUT017,3063.199463813359
NCD43,OUT027,2629.008370984396
NCD54,OUT018,2107.970737322416
FDY19,OUT010,262.9223421493727
NCY54,OUT017,2818.3307128401893
NCL19,OUT018,2487.637368647977
FDP23,OUT010,549.2549311164207
FDC26,OUT013,1730.5871495289948
FDR14,OUT010,140.73194177787911
NCS41,OUT035,3063.199463813359
FDF41,OUT035,3882.149555179686
FDU34,OUT046,2007.9755727915244
DRH11,OUT046,841.9637174869354
FDM03,OUT013,1599.444802303061
FDS31,OUT017,3049.2877002062037
FDJ20,OUT017,2007.9755727915244
FDV44,OUT027,5171.01529118909
FDG02,OUT049,3063.199463813359
